SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label
80.55.144.251,147.32.86.116,tcp,52690,80,RST,0,0,46720,16776960,15,1,2011/08/18 15:42:57.781721,2011/08/18 15:43:18.780273,49,127,0.000519,0.000519,0.000000,1,4,74,278,0,0,20.998552,5,352,0,0.190489,0.000000,0.142871,flow=Background-TCP-Established
109.144.218.203,147.32.84.59,tcp,54906,43087,RST,0,0,8192,0,22,1,2011/08/18 15:44:39.802207,2011/08/18 15:44:42.779455,106,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,2.977248,4,252,0,1.007642,0.335881,0.677049,flow=Background-Established-cmpgw-CVUT
78.186.167.15,147.32.86.116,tcp,30935,443,RST,0,0,46464,16776960,17,1,2011/08/18 15:44:53.591555,2011/08/18 15:45:38.589855,47,127,0.000476,0.000476,0.000000,4,4,296,278,0,0,44.998299,8,574,0,0.155561,0.066669,0.142867,flow=Background-TCP-Established
78.186.167.15,147.32.86.116,tcp,47338,80,RST,0,0,46464,16776960,17,1,2011/08/18 15:44:56.819653,2011/08/18 15:45:41.820093,47,127,0.000367,0.000367,0.000000,4,4,296,278,0,0,45.000439,8,574,0,0.155554,0.066666,0.142803,flow=Background-TCP-Established
78.186.167.15,147.32.86.116,tcp,30935,443,RST,0,0,46464,16776960,17,1,2011/08/18 15:45:38.589855,2011/08/18 15:45:59.582636,47,127,0.000416,0.000416,0.000000,1,4,74,278,0,0,20.992781,5,352,0,0.190542,0.000000,0.142909,flow=Background-TCP-Established
78.186.167.15,147.32.86.116,tcp,47338,80,RST,0,0,46464,16776960,17,1,2011/08/18 15:45:41.820093,2011/08/18 15:46:02.818785,47,127,0.000408,0.000408,0.000000,1,4,74,278,0,0,20.998692,5,352,0,0.190488,0.000000,0.142869,flow=Background-TCP-Established
124.244.138.41,147.32.84.59,tcp,14359,3121,RST,0,0,1024,,15,2,2011/08/18 15:47:46.924234,2011/08/18 15:47:46.924234,113,126,0.000000,0.000000,0.000000,1,0,60,0,0,0,0.000000,1,60,0,0.000000,0.000000,0.000000,flow=Background-Attempt-cmpgw-CVUT
76.76.172.248,147.32.84.229,tcp,63979,13363,RST,0,0,65535,65535,20,1,2011/08/18 15:49:07.792518,2011/08/18 15:49:10.746235,108,127,0.000223,0.000223,0.000000,2,1,122,62,0,0,2.953717,3,184,0,0.677113,0.338556,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63983,443,RST,0,0,65535,65535,20,1,2011/08/18 15:49:09.416235,2011/08/18 15:49:12.384251,108,127,0.000141,0.000141,0.000000,2,1,122,62,0,0,2.968016,3,184,0,0.673851,0.336925,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63986,80,RST,0,0,65535,65535,20,1,2011/08/18 15:49:11.041289,2011/08/18 15:49:13.913145,108,127,0.000184,0.000184,0.000000,2,1,122,62,0,0,2.871856,3,184,0,0.696414,0.348207,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63979,13363,RST,0,0,65535,65535,20,1,2011/08/18 15:49:10.746235,2011/08/18 15:49:16.760101,108,127,0.000156,0.000156,0.000000,2,1,122,62,0,0,6.013866,3,184,0,0.332565,0.166282,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63983,443,RST,0,0,65535,65535,20,1,2011/08/18 15:49:12.384251,2011/08/18 15:49:18.507865,108,127,0.000198,0.000198,0.000000,2,1,122,62,0,0,6.123614,3,184,0,0.326605,0.163302,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63986,80,RST,0,0,65535,65535,20,1,2011/08/18 15:49:13.913145,2011/08/18 15:49:19.929439,108,127,0.000083,0.000083,0.000000,2,1,122,62,0,0,6.016294,3,184,0,0.332431,0.166215,0.000000,flow=Background-TCP-Established
147.32.3.51,147.32.84.46,tcp,4436,10010,RST,0,0,65535,0,5,1,2011/08/18 15:49:25.660103,2011/08/18 15:49:26.862799,123,63,0.000000,0.000000,0.000000,2,2,124,120,0,0,1.202696,4,244,0,2.494396,0.831465,1.829659,flow=Background-TCP-Attempt
147.32.85.124,62.24.64.52,tcp,50441,8080,RST,0,0,17220,7168,2,11,2011/08/18 15:46:28.330161,2011/08/18 15:49:34.341170,126,53,0.001840,0.000879,0.000961,7,6,1054,659,628,299,186.011002,13,1713,927,0.064512,0.032256,0.027321,flow=Background-TCP-Established
208.251.71.101,147.32.84.148,tcp,17212,25102,RST,0,0,65535,0,19,1,2011/08/18 15:50:00.183485,2011/08/18 15:50:01.425245,109,63,0.000000,0.000000,0.000000,2,2,124,120,0,0,1.241760,4,244,0,2.415926,0.805309,1.560649,flow=Background-TCP-Attempt
109.144.218.203,147.32.84.59,tcp,55831,19181,RST,0,0,8192,0,22,1,2011/08/18 15:50:33.656762,2011/08/18 15:50:36.502215,106,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,2.845453,4,252,0,1.054314,0.351438,0.894527,flow=Background-Established-cmpgw-CVUT
202.163.72.150,147.32.84.59,tcp,2452,43087,RST,0,0,64240,0,23,1,2011/08/18 15:53:12.652267,2011/08/18 15:53:14.013331,41,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,1.361064,4,252,0,2.204158,0.734719,1.525083,flow=Background-Established-cmpgw-CVUT
147.32.84.59,85.166.203.208,tcp,3191,45259,RST,0,0,131070,0,2,13,2011/08/18 15:52:58.754849,2011/08/18 15:53:55.762537,126,243,0.000000,0.000000,0.000000,5,1,390,60,0,0,57.007687,6,450,0,0.087707,0.070166,0.000000,flow=Background-Established-cmpgw-CVUT
109.144.218.203,147.32.84.59,tcp,56377,43087,RST,0,0,8192,0,22,1,2011/08/18 15:54:02.990268,2011/08/18 15:54:06.611997,106,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,3.621729,4,252,0,0.828334,0.276111,0.555671,flow=Background-Established-cmpgw-CVUT
196.29.223.2,147.32.86.116,tcp,4256,19083,RST,0,0,16384,8192,20,1,2011/08/18 15:54:21.849413,2011/08/18 15:54:24.844381,108,127,0.000488,0.000488,0.000000,2,1,122,62,0,0,2.994968,3,184,0,0.667787,0.333893,0.000000,flow=Background-TCP-Established
109.144.218.203,147.32.84.59,tcp,56575,43087,RST,0,0,8192,0,22,1,2011/08/18 15:55:38.922076,2011/08/18 15:55:42.839162,106,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,3.917086,4,252,0,0.765875,0.255292,0.493655,flow=Background-Established-cmpgw-CVUT
147.32.84.202,65.54.89.106,tcp,1078,80,RST,0,0,65535,65535,1,10,2011/08/18 15:39:35.087798,2011/08/18 15:40:58.149941,127,54,0.000000,0.000000,0.000000,16544,26521,1033777,39940894,30691,38508712,83.062141,43065,40974671,38539403,518.455200,199.164139,319.805145,flow=Background
88.100.184.137,147.32.85.26,tcp,13121,62860,RST,0,0,40736,255,10,1,2011/08/18 15:39:35.087915,2011/08/18 15:47:52.808374,118,127,0.000000,0.000000,0.000000,114323,212639,7076046,125354930,117866,113872424,497.720459,326962,132430976,113990290,656.916931,229.691177,427.270233,flow=Background
147.32.84.2,218.75.208.58,tcp,80,3088,CON,0,0,108,46537,1,22,2011/08/18 15:39:35.091007,2011/08/18 15:55:46.379175,63,42,0.000000,0.000000,0.000000,4725,3187,7153650,203226,6898500,0,971.288147,7912,7356876,6898500,8.144854,4.863644,3.281153,flow=Background
90.181.84.58,147.32.84.19,tcp,54518,993,CON,0,0,65535,62,10,1,2011/08/18 15:39:35.091585,2011/08/18 15:54:35.087964,54,63,0.000000,0.000000,0.000000,32,16,3008,2720,896,1664,899.996399,48,5728,2560,0.052222,0.034445,0.016667,flow=Background
147.32.86.116,151.82.9.107,tcp,19083,2185,RST,0,,253,,1,,2011/08/18 15:39:35.093493,2011/08/18 15:40:13.846939,127,,0.000000,0.000000,0.000000,7,0,456,0,72,0,38.753445,7,456,72,0.154825,0.154825,0.000000,flow=Background
218.75.208.58,147.32.84.2,tcp,3095,80,RST,0,0,46537,108,22,1,2011/08/18 15:39:35.093680,2011/08/18 15:50:38.088066,42,63,0.000000,0.000000,0.000000,2476,3661,158064,5542754,0,5345060,662.994385,6137,5700818,5345060,9.254980,3.733063,5.520532,flow=Background
218.75.208.58,147.32.84.2,tcp,3090,80,RST,0,0,46537,108,22,1,2011/08/18 15:39:35.094252,2011/08/18 15:47:40.980024,42,63,0.000000,0.000000,0.000000,1675,2478,106820,3751692,0,3617880,485.885773,4153,3858512,3617880,8.545218,3.445254,5.097909,flow=Background
147.32.84.59,128.178.78.132,udp,19146,51180,CON,0,0,,,2,15,2011/08/18 15:39:35.095907,2011/08/18 15:55:46.379954,126,113,0.000000,0.000000,0.000000,67332,51532,22872870,6487578,20043455,4321527,971.284058,118864,29360448,24364982,122.377174,69.322235,53.055050,flow=Background-Established-cmpgw-CVUT
147.32.84.164,64.12.68.227,tcp,57264,443,RST,0,0,18648,16384,1,23,2011/08/18 15:39:35.096399,2011/08/18 15:55:45.074943,63,105,0.000000,0.000000,0.000000,26,27,1791,2488,363,886,969.978516,53,4279,1249,0.053609,0.026041,0.026808,flow=From-Normal-V52-Grill
147.32.84.164,64.12.73.134,tcp,43869,443,CON,0,0,19024,16384,1,23,2011/08/18 15:39:35.096413,2011/08/18 15:55:35.225068,63,105,0.000000,0.000000,0.000000,19,19,1140,1140,114,0,960.128662,38,2280,114,0.038537,0.018750,0.018750,flow=From-Normal-V52-Grill
147.32.84.164,205.188.8.253,tcp,58187,443,CON,0,0,63920,16384,1,23,2011/08/18 15:39:35.096418,2011/08/18 15:55:35.223087,63,105,0.000000,0.000000,0.000000,65,64,7130,15601,3422,11983,960.126648,129,22731,15405,0.133316,0.066666,0.065624,flow=From-Normal-V52-Grill
74.125.232.201,147.32.84.170,tcp,80,32792,CON,0,0,1002,501,10,1,2011/08/18 15:39:35.100918,2011/08/18 15:55:07.071456,54,63,0.000000,0.000000,0.000000,59,88,13404,61496,9510,55688,931.970520,147,74900,65198,0.156657,0.062234,0.093351,flow=To-Background-Stribrek
74.125.232.216,147.32.84.170,tcp,443,33389,CON,0,0,1002,669,10,1,2011/08/18 15:39:35.102030,2011/08/18 15:55:34.197488,54,63,0.000000,0.000000,0.000000,93,98,30372,30774,24210,24306,959.095459,191,61146,48516,0.198103,0.095924,0.101137,flow=To-Background-Stribrek
74.125.108.215,147.32.86.194,tcp,80,3994,FIN,0,0,7200,65535,12,1,2011/08/18 15:39:35.104063,2011/08/18 15:40:15.241150,52,127,0.000000,0.000000,0.000000,2953,1774,4452163,106440,4292689,0,40.137089,4727,4558603,4292689,117.746460,73.547935,44.191463,flow=Background
147.32.85.8,74.125.232.195,tcp,39842,80,FIN,0,0,1002,1002,1,10,2011/08/18 15:39:35.106287,2011/08/18 15:40:36.024304,63,54,0.000000,0.000000,0.000000,4,4,264,264,0,0,60.918018,8,528,0,0.114909,0.049253,0.049253,flow=Background-google-analytics4
141.70.81.136,147.32.84.229,tcp,48602,13363,CON,0,0,1002,65044,15,1,2011/08/18 15:39:35.106463,2011/08/18 15:55:30.275362,49,127,0.000000,0.000000,0.000000,259,228,35900,19898,18806,4850,955.168884,487,55798,23656,0.508811,0.270109,0.244530,flow=Background
147.32.84.229,85.230.179.76,udp,13363,35188,CON,0,0,,,1,13,2011/08/18 15:39:35.111842,2011/08/18 15:55:13.155142,127,115,0.000000,0.000000,0.000000,21,22,4371,3957,3488,3032,938.043274,43,8328,6520,0.044774,0.021322,0.022388,flow=Background-UDP-Established
147.32.84.229,41.66.238.159,tcp,13363,60612,CON,0,0,65105,49544,1,16,2011/08/18 15:39:35.111850,2011/08/18 15:54:41.079839,127,48,0.000000,0.000000,0.000000,22,20,1630,1206,352,34,905.968018,42,2836,386,0.045255,0.023193,0.020980,flow=Background
147.32.86.110,188.95.61.42,tcp,49422,53389,CON,0,0,1606,258,1,15,2011/08/18 15:39:35.112031,2011/08/18 15:55:10.901565,63,113,0.000000,0.000000,0.000000,24802,16842,3019813,7883147,1381101,6771167,935.789551,41644,10902960,8152268,44.500389,26.502754,17.996769,flow=Background
157.24.40.14,147.32.84.59,tcp,443,50328,CON,0,0,62780,63131,17,2,2011/08/18 15:39:35.116975,2011/08/18 15:55:46.345300,47,126,0.000000,0.000000,0.000000,6839,5838,4584731,687617,4208972,360263,971.228333,12677,5272348,4569235,13.051514,7.040571,6.009918,flow=Background-Established-cmpgw-CVUT
147.32.80.13,147.32.87.223,tcp,80,55716,CON,0,0,8326,32580,1,1,2011/08/18 15:39:35.119697,2011/08/18 15:55:46.293651,63,63,0.000000,0.000000,0.000000,12697,12677,16338440,836682,15500438,0,971.173950,25374,17175122,15500438,26.126112,13.072917,13.052442,flow=From-Background-CVUT-Proxy
66.91.54.166,147.32.84.59,udp,18253,22602,INT,0,,,,19,,2011/08/18 15:39:35.122037,2011/08/18 15:39:35.122037,109,,0.000000,0.000000,0.000000,1,0,329,0,287,0,0.000000,1,329,287,0.000000,0.000000,0.000000,flow=Background-Attempt-cmpgw-CVUT
147.32.84.59,79.116.212.63,udp,22602,21338,CON,0,0,,,2,9,2011/08/18 15:39:35.123804,2011/08/18 15:39:35.177254,126,119,0.000000,0.000000,0.000000,1,1,145,319,103,277,0.053450,2,464,380,18.709074,0.000000,0.000000,flow=Background-Established-cmpgw-CVUT
195.91.110.64,147.32.85.56,udp,52059,44076,CON,0,0,,,16,1,2011/08/18 15:39:35.124097,2011/08/18 15:55:46.368450,112,127,0.000000,0.000000,0.000000,38221,97,4091115,6140,2485679,1877,971.244324,38318,4097255,2487556,39.451454,39.351582,0.102113,flow=Background-UDP-Established
147.32.85.56,81.19.46.234,udp,44076,47432,CON,0,0,,,1,14,2011/08/18 15:39:35.124510,2011/08/18 15:55:46.368693,127,114,0.000000,0.000000,0.000000,37202,48,3949823,3024,2387339,1008,971.244202,37250,3952847,2388347,38.351837,38.302418,0.050001,flow=Background-UDP-Established
74.63.47.82,147.32.84.59,tcp,80,50050,CON,0,0,54,16425,11,2,2011/08/18 15:39:35.130101,2011/08/18 15:55:46.374252,53,126,0.000000,0.000000,0.000000,11766,5658,16144876,339570,15507802,0,971.244141,17424,16484446,15507802,17.938847,12.113329,5.824918,flow=Background-Established-cmpgw-CVUT
217.64.104.107,147.32.86.116,tcp,19007,19083,RST,0,0,62496,260,20,1,2011/08/18 15:39:35.132772,2011/08/18 15:41:02.921258,108,127,0.000000,0.000000,0.000000,45,39,14690,8740,12182,6566,87.788483,84,23430,18748,0.945454,0.501205,0.481560,flow=Background
147.32.84.229,95.103.236.172,tcp,13363,19173,CON,0,0,65411,65535,1,10,2011/08/18 15:39:35.142789,2011/08/18 15:54:48.022989,127,118,0.000000,0.000000,0.000000,56,49,4918,4389,1708,1580,912.880188,105,9307,3288,0.113925,0.060267,0.057862,flow=Background
147.32.84.229,62.228.215.189,tcp,13363,49259,CON,0,0,65038,63987,1,19,2011/08/18 15:39:35.142797,2011/08/18 15:54:26.723135,127,45,0.000000,0.000000,0.000000,28,28,2646,2119,1029,491,891.580322,56,4765,1520,0.061688,0.030293,0.030337,flow=Background
147.32.84.229,192.100.130.239,tcp,443,56238,CON,0,0,65043,65511,1,11,2011/08/18 15:39:35.142801,2011/08/18 15:55:16.224893,127,117,0.000000,0.000000,0.000000,150,158,13290,15439,4719,6382,941.082092,308,28729,11101,0.326220,0.158369,0.166910,flow=Background
147.32.84.229,82.187.103.146,tcp,443,56625,FIN,0,0,64782,20440,1,18,2011/08/18 15:39:35.142805,2011/08/18 15:40:30.676614,127,46,0.000000,0.000000,0.000000,38,53,6844,26316,4687,23286,55.533810,91,33160,27973,1.620634,0.667434,0.942162,flow=Background
188.226.9.56,147.32.84.229,udp,1955,13363,INT,0,,,,12,,2011/08/18 15:39:35.144260,2011/08/18 15:39:35.144260,116,,0.000000,0.000000,0.000000,1,0,60,0,18,0,0.000000,1,60,18,0.000000,0.000000,0.000000,flow=Background-UDP-Attempt
82.28.0.34,147.32.86.116,tcp,35711,19083,CON,0,0,8011,258,13,1,2011/08/18 15:39:35.144906,2011/08/18 15:52:15.682303,51,127,0.000000,0.000000,0.000000,183,151,28686,15104,16608,5138,760.537415,334,43790,21746,0.437848,0.239369,0.198150,flow=Background
122.121.213.1,147.32.84.229,udp,59032,13363,CON,0,0,,,24,1,2011/08/18 15:39:35.154411,2011/08/18 15:39:35.155222,104,127,0.000000,0.000000,0.000000,1,1,75,464,33,422,0.000811,2,539,455,1233.045654,0.000000,0.000000,flow=Background-UDP-Established
147.32.3.51,147.32.87.21,tcp,3059,10010,CON,0,0,64799,30360,5,0,2011/08/18 15:39:35.154668,2011/08/18 15:55:43.247855,123,64,0.000000,0.000000,0.000000,264,250,17282,18150,1904,4320,968.093201,514,35432,6224,0.529908,0.271668,0.257353,flow=Background
38.101.148.126,147.32.84.36,tcp,46174,80,FIN,0,0,250,54,18,1,2011/08/18 15:39:35.155661,2011/08/18 15:39:35.155736,46,63,0.000000,0.000000,0.000000,1,1,66,66,0,0,0.000075,2,132,0,13333.333008,0.000000,0.000000,flow=Background
99.75.37.133,147.32.84.229,udp,49185,13363,CON,0,0,,,18,1,2011/08/18 15:39:35.158657,2011/08/18 15:39:35.160649,110,127,0.000000,0.000000,0.000000,1,1,174,62,132,20,0.001992,2,236,152,502.008026,0.000000,0.000000,flow=Background-UDP-Established
212.111.2.151,147.32.86.135,tcp,8000,4022,RST,0,0,65138,65535,7,1,2011/08/18 15:39:35.168411,2011/08/18 15:46:58.941752,121,127,0.000000,0.000000,0.000000,10145,5082,14750830,304920,14203000,0,443.773346,15227,15055750,14203000,34.310307,22.859797,11.450879,flow=Background
147.32.84.59,80.239.148.114,tcp,61161,80,RST,0,0,63120,65535,2,8,2011/08/18 15:39:35.173979,2011/08/18 15:39:49.059420,126,120,0.000000,0.000000,0.000000,14,12,1788,1356,984,672,13.885441,26,3144,1656,1.800447,0.936232,1.024328,flow=Background-Established-cmpgw-CVUT
24.14.31.102,147.32.84.229,udp,42366,13363,CON,0,0,,,22,1,2011/08/18 15:39:35.177156,2011/08/18 15:41:23.997779,42,127,0.000000,0.000000,0.000000,2,1,232,62,148,20,108.821495,3,294,168,0.018379,0.009189,0.000000,flow=Background-UDP-Established
147.32.84.59,68.98.34.178,udp,22602,17170,CON,0,0,,,2,17,2011/08/18 15:39:35.177834,2011/08/18 15:39:35.387464,126,111,0.000000,0.000000,0.000000,1,1,145,329,103,287,0.209630,2,474,390,4.770309,0.000000,0.000000,flow=Background-Established-cmpgw-CVUT
77.70.70.223,147.32.86.116,udp,42595,19083,CON,0,0,,,12,1,2011/08/18 15:39:35.182565,2011/08/18 15:39:35.183502,116,127,0.000000,0.000000,0.000000,1,1,73,61,31,19,0.000937,2,134,50,1067.235840,0.000000,0.000000,flow=Background-UDP-Established
218.75.208.58,147.32.84.2,tcp,3107,80,RST,0,0,46537,108,22,1,2011/08/18 15:39:35.184480,2011/08/18 15:55:23.061246,42,63,0.000000,0.000000,0.000000,2970,4372,189308,6617754,0,6381660,947.876770,7342,6807062,6381660,7.744678,3.132264,4.614205,flow=Background
147.32.86.194,173.194.1.27,tcp,3972,80,RST,0,0,65007,0,1,8,2011/08/18 15:39:35.186828,2011/08/18 15:39:35.187618,127,56,0.000000,0.000000,0.000000,1,1,60,60,0,0,0.000790,2,120,0,1265.822754,0.000000,0.000000,flow=Background
147.32.86.194,74.125.108.185,tcp,3974,80,RST,0,0,65410,0,1,12,2011/08/18 15:39:35.186939,2011/08/18 15:39:35.202552,127,52,0.000000,0.000000,0.000000,1,1,60,60,0,0,0.015613,2,120,0,64.049187,0.000000,0.000000,flow=Background
147.32.84.194,164.8.252.2,tcp,1081,24250,CON,0,0,64704,36250,2,14,2011/08/18 15:39:35.190762,2011/08/18 15:55:31.303615,126,114,0.000000,0.000000,0.000000,42,43,4253,3309,1840,831,956.112854,85,7562,2671,0.087856,0.042892,0.043938,flow=Background
147.32.86.116,187.48.177.229,udp,19083,7177,CON,0,0,,,1,20,2011/08/18 15:39:35.192594,2011/08/18 15:39:35.462523,127,108,0.000000,0.000000,0.000000,1,1,478,60,436,17,0.269929,2,538,453,3.704678,0.000000,0.000000,flow=Background-UDP-Established
147.32.86.116,71.207.104.220,udp,19083,11015,CON,0,0,,,1,18,2011/08/18 15:39:35.192741,2011/08/18 15:39:35.347575,127,110,0.000000,0.000000,0.000000,1,1,478,60,436,17,0.154834,2,538,453,6.458529,0.000000,0.000000,flow=Background-UDP-Established
89.28.60.81,147.32.86.116,udp,10659,19083,CON,0,0,,,11,1,2011/08/18 15:39:35.194739,2011/08/18 15:39:35.195624,117,127,0.000000,0.000000,0.000000,1,1,74,61,32,19,0.000885,2,135,51,1129.943481,0.000000,0.000000,flow=Background-UDP-Established
147.32.84.132,77.75.76.3,tcp,53240,80,RST,0,0,16129,58,1,8,2011/08/18 15:39:35.197359,2011/08/18 15:39:40.934006,127,56,0.000000,0.000000,0.000000,6,9,360,11893,0,11401,5.736647,15,12253,11401,2.440450,0.871589,1.599418,flow=Background
210.49.64.185,147.32.84.59,udp,29365,43087,INT,0,,,,13,,2011/08/18 15:39:35.197662,2011/08/18 15:39:35.197789,51,,0.000000,0.000000,0.000000,1,0,145,0,103,0,0.000127,1,145,103,0.000000,0.000000,0.000000,flow=Background-Attempt-cmpgw-CVUT
147.32.84.59,210.49.64.185,icmp,0x0303,0x4fa8,URP,0,,,,1,,2011/08/18 15:39:35.197789,2011/08/18 15:39:35.197789,63,,0.000000,0.000000,0.000000,1,0,173,0,111,0,0.000000,1,173,111,0.000000,0.000000,0.000000,flow=Background-Attempt-cmpgw-CVUT
218.75.208.58,147.32.84.2,tcp,3103,80,CON,0,0,46537,108,22,1,2011/08/18 15:39:35.204329,2011/08/18 15:55:46.232782,42,63,0.000000,0.000000,0.000000,3235,4794,206362,7258116,0,6999240,971.028442,8029,7464478,6999240,8.267523,3.330490,4.936005,flow=Background
178.211.12.150,147.32.86.116,udp,28485,19083,CON,0,0,,,13,1,2011/08/18 15:39:35.212337,2011/08/18 15:39:35.213234,115,127,0.000000,0.000000,0.000000,1,1,76,61,34,19,0.000897,2,137,53,1114.827148,0.000000,0.000000,flow=Background-UDP-Established
147.32.84.59,64.12.68.227,tcp,47122,443,CON,0,0,25840,16384,2,23,2011/08/18 15:39:35.214151,2011/08/18 15:55:35.357727,62,105,0.000000,0.000000,0.000000,35,35,2706,4344,774,2286,960.143555,70,7050,3060,0.071864,0.035416,0.035416,flow=Background-Established-cmpgw-CVUT
147.32.84.59,64.12.73.133,tcp,48422,443,CON,0,0,19024,16384,2,23,2011/08/18 15:39:35.214361,2011/08/18 15:55:35.358920,62,105,0.000000,0.000000,0.000000,21,21,1260,1260,126,0,960.144531,42,2520,126,0.042702,0.020833,0.020833,flow=Background-Established-cmpgw-CVUT
147.32.84.59,205.188.10.217,tcp,52955,443,CON,0,0,63920,16384,2,23,2011/08/18 15:39:35.214577,2011/08/18 15:55:35.364058,62,105,0.000000,0.000000,0.000000,56,62,5830,22840,2626,19348,960.149475,118,28670,21974,0.121856,0.057290,0.063540,flow=Background-Established-cmpgw-CVUT
196.213.192.226,147.32.84.229,tcp,64010,443,CON,0,0,256,64935,24,1,2011/08/18 15:39:35.218158,2011/08/18 15:55:08.035082,104,127,0.000000,0.000000,0.000000,99,100,9660,9979,3951,4313,932.816895,199,19639,8264,0.212260,0.105058,0.106191,flow=Background
46.10.64.155,147.32.86.116,udp,54954,19083,CON,0,0,,,16,1,2011/08/18 15:39:35.225322,2011/08/18 15:45:29.506748,112,127,0.000000,0.000000,0.000000,8,8,1456,496,1120,160,354.281433,16,1952,1280,0.042339,0.019758,0.019758,flow=Background-UDP-Established
147.32.82.164,147.32.84.130,tcp,49879,5222,CON,0,0,133,11590,2,2,2011/08/18 15:39:35.229839,2011/08/18 15:55:31.382893,126,62,0.000000,0.000000,0.000000,99,178,11338,178357,5632,168541,956.153076,277,189695,174173,0.288657,0.102494,0.185124,flow=Background
77.70.54.156,147.32.84.59,icmp,0x0103,0x4d46,URH,0,,,,12,,2011/08/18 15:39:35.230266,2011/08/18 15:39:35.230266,52,,0.000000,0.000000,0.000000,1,0,173,0,111,0,0.000000,1,173,111,0.000000,0.000000,0.000000,flow=Background-Attempt-cmpgw-CVUT
