sHops,TotPkts,TotBytes,TotAppByte,Dur,sTtl,TcpRtt,SynAck,SrcPkts,DstPkts,TotAppByte_1,Rate,SrcRate,DstRate,Label
22,4,252,0,3.621729,106,0,0,2,2,0,0.828334,0.276111,0.555671,Normal
20,3,184,0,2.994968,108,0.000488,0.000488,2,1,0,0.667787,0.333893,0,Normal
22,4,252,0,3.917086,106,0,0,2,2,0,0.765875,0.255292,0.493655,Normal
2,118864,29360448,24364982,971.284058,126,0,0,67332,51532,24364982,122.377174,69.322235,53.05505,Normal
1,53,4279,1249,969.978516,63,0,0,26,27,1249,0.053609,0.026041,0.026808,Normal
1,38,2280,114,960.128662,63,0,0,19,19,114,0.038537,0.01875,0.01875,Normal
1,129,22731,15405,960.126648,63,0,0,65,64,15405,0.133316,0.066666,0.065624,Normal
17,12677,5272348,4569235,971.228333,47,0,0,6839,5838,4569235,13.051514,7.040571,6.009918,Normal
19,1,329,287,0,109,0,0,1,0,287,0,0,0,Normal
2,2,464,380,0.05345,126,0,0,1,1,380,18.709074,0,0,Normal
11,17424,16484446,15507802,971.244141,53,0,0,11766,5658,15507802,17.938847,12.113329,5.824918,Normal
2,26,3144,1656,13.885441,126,0,0,14,12,1656,1.800447,0.936232,1.024328,Normal
2,2,474,390,0.20963,126,0,0,1,1,390,4.770309,0,0,Normal
13,1,145,103,0.000127,51,0,0,1,0,103,0,0,0,Normal
1,1,173,111,0,63,0,0,1,0,111,0,0,0,Normal
2,70,7050,3060,960.143555,62,0,0,35,35,3060,0.071864,0.035416,0.035416,Normal
2,42,2520,126,960.144531,62,0,0,21,21,126,0.042702,0.020833,0.020833,Normal
2,118,28670,21974,960.149475,62,0,0,56,62,21974,0.121856,0.05729,0.06354,Normal
12,1,173,111,0,52,0,0,1,0,111,0,0,0,Normal
12,40,2784,144,252.844604,116,0,0,20,20,144,0.154245,0.075145,0.085181,Normal
1,20,4631,3295,56.488838,63,0.024422,0.023981,12,8,3295,0.33635,0.194729,0.123972,Normal
2,28,1764,588,260.097961,62,0,0,14,14,588,0.103807,0.050002,0.050002,Normal
2,28,1792,616,260.044128,62,0,0,14,14,616,0.103829,0.050002,0.050002,Normal
13,6,374,0,1.465707,115,0,0,3,3,0,3.411323,1.364666,1.364696,Normal
2,1,145,103,0.085441,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,474,390,0.168798,126,0,0,1,1,390,5.924241,0,0,Normal
2,2,474,390,0.137873,126,0,0,1,1,390,7.253052,0,0,Normal
14,1,70,111,0,242,0,0,1,0,111,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,66,32283,27927,362.788483,62,0,0,36,30,27927,0.179168,0.096475,0.07994,Normal
2,11,1079,447,1.435567,126,0,0,5,6,447,6.965889,3.788507,3.482944,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
5,320,36023,22583,964.172974,59,0,0,163,157,22583,0.330853,0.168394,0.161797,Normal
25,91,6329,1146,123.093552,103,0.572144,0.079545,45,46,1146,0.731151,0.357497,0.365812,Normal
2,2,474,390,0.639233,126,0,0,1,1,390,1.564375,0,0,Normal
2,2,120,0,8e-06,126,0,0,2,0,0,125000,125000,0,Normal
2,29,3588,1932,13.558499,126,0,0,15,14,1932,2.065125,1.032563,1.013021,Normal
1,41,19337,16615,28.858328,63,0.034325,0.033947,22,19,16615,1.386082,0.727693,1.154998,Normal
1,37,30686,28594,0.309996,127,0.038107,0.038004,13,24,28594,116.130524,38.710175,84.605171,Normal
NaN,8,592,40,0.018407,NaN,0,0,0,8,40,380.2901,0,380.2901,Normal
1,11,2255,1599,0.006189,127,0.000972,0.000768,7,4,1599,1615.769897,969.461975,816.770996,Normal
2,9,1539,999,0.328057,126,0.107023,0.106406,5,4,999,24.386007,18.073706,13.534791,Normal
1,26,8840,7108,28.561489,63,0.033581,0.033131,16,10,7108,0.875305,0.525183,0.587449,Normal
1,26,8728,6996,28.561224,63,0.033575,0.033207,16,10,6996,0.875313,0.525188,0.587482,Normal
1,26,8696,6964,28.558149,63,0.033423,0.033071,16,10,6964,0.875407,0.525244,0.587608,Normal
1,27,8778,6980,28.555544,63,0.033538,0.033263,17,10,6980,0.910506,0.560311,0.58614,Normal
1,12,3091,2377,3.008933,127,0.001374,0.001223,7,5,2377,3.655781,1.994062,1.330547,Normal
1,27,8762,6964,28.555367,63,0.033269,0.032897,17,10,6964,0.910512,0.560315,0.586185,Normal
2,170,19003,9314,953.684326,126,0,0,85,85,9314,0.177207,0.088095,0.088081,Normal
2,1,73,31,0,126,0,0,1,0,31,0,0,0,Normal
2,11,1081,447,0.241001,126,0.059974,0.059586,6,5,447,41.493603,27.610277,22.048893,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,66,4796,1034,960.140869,62,0,0,33,33,1034,0.067698,0.033332,0.033333,Normal
23,103,11434,5584,929.115295,105,0,0,55,48,5584,0.109782,0.05812,0.050603,Normal
2,2,474,390,0.056524,126,0,0,1,1,390,17.691599,0,0,Normal
2,2,464,380,0.289441,126,0,0,1,1,380,3.454936,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,103,10151,5615,122.20195,62,0,0,67,36,5615,0.834684,0.54009,0.688308,Normal
2,2,474,390,0.079269,126,0,0,1,1,390,12.615273,0,0,Normal
2,2,474,390,0.054266,126,0,0,1,1,390,18.427746,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,464,380,0.051553,126,0,0,1,1,380,19.397512,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
23,36,2730,678,969.389465,105,0,0,18,18,678,0.036105,0.017537,0.017543,Normal
2,96,6577,1691,960.555969,62,0,0,46,50,1691,0.098901,0.046851,0.051208,Normal
2,43,8538,5688,252.235641,62,0,0,22,21,5688,0.166511,0.083258,0.079294,Normal
2,18,1764,1008,774.519348,126,0,0,18,0,1008,0.021949,0.021949,0,Normal
2,320,195922,177874,965.213623,126,0,0,192,128,177874,0.330497,0.197884,0.131623,Normal
14,6,374,0,1.098107,114,0,0,3,3,0,4.55329,1.821635,1.821824,Normal
9,9,1018,490,6.994944,55,0,0,4,5,490,1.143683,0.428897,0.571879,Normal
9,8,958,490,6.994028,55,0,0,4,4,490,1.000854,0.428953,0.428956,Normal
5,4,244,0,1.031583,123,0,0,2,2,0,2.908152,0.970041,0.970155,Normal
23,91,12021,6843,947.066528,105,0,0,46,45,6843,0.09503,0.047525,0.04646,Normal
2,18,1527,489,739.608276,126,0,0,9,9,489,0.022985,0.010817,0.010821,Normal
2,17,4781,3643,0.081389,62,0.008027,0.007784,10,7,3643,196.586761,110.580048,81.781754,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,474,390,0.125697,126,0,0,1,1,390,7.955639,0,0,Normal
2,2,464,380,0.18462,126,0,0,1,1,380,5.416532,0,0,Normal
2,2,464,380,0.037475,126,0,0,1,1,380,26.684456,0,0,Normal
2,2,474,390,0.473448,126,0,0,1,1,390,2.112164,0,0,Normal
2,2,474,390,0.065054,126,0,0,1,1,390,15.371845,0,0,Normal
2,17,4993,3855,0.122131,62,0.015928,0.015679,10,7,3855,131.006866,73.691368,56.50782,Normal
1,41,32618,30292,0.20731,127,0.026062,0.025921,16,25,30292,192.947754,72.355408,132.363403,Normal
9,76,6814,1798,942.984924,55,0,0,38,38,1798,0.079535,0.039237,0.039237,Normal
2,2,474,390,0.06536,126,0,0,1,1,390,15.299877,0,0,Normal
2,2,474,390,0.187438,126,0,0,1,1,390,5.335098,0,0,Normal
2,1,145,103,0.033333,126,0,0,1,0,103,0,0,0,Normal
2,54,4856,1292,960.054504,62,0,0,34,20,1292,0.055205,0.034373,0.019791,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
14,1,173,111,0,50,0,0,1,0,111,0,0,0,Normal
2,4,256,0,21.008274,126,0,0,4,0,0,0.142801,0.142801,0,Normal
2,1,62,0,0,126,0,0,1,0,0,0,0,0,Normal
2,2,455,371,0.501642,126,0,0,1,1,371,1.993454,0,0,Normal
2,3586,2364931,2128123,942.21814,62,0,0,1760,1826,2128123,3.804851,1.866871,1.936952,Normal
1,17,1020,48,265.884674,63,0,0,8,9,48,0.060176,0.029155,0.030101,Normal
1,62,3720,186,960.499756,63,0,0,31,31,186,0.063509,0.031238,0.031238,Normal
1,66,4266,504,960.498901,63,0,0,33,33,504,0.067673,0.03332,0.03332,Normal
2,2,464,380,0.074557,126,0,0,1,1,380,13.412557,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,92,24790,18718,947.642212,62,0,0,51,41,18718,0.096028,0.052768,0.042214,Normal
1,50,19768,16924,373.125305,127,0.008042,0.007895,24,26,16924,0.131323,0.061641,0.067003,Normal
2,9,594,0,127.659836,62,0,0,5,4,0,0.062667,0.031333,0.023501,Normal
2,799,546120,501312,968.366638,126,0,0,415,384,501312,0.824068,0.427524,0.395597,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
1,24,10317,8925,11.370227,127,0.001697,0.000201,12,12,8925,2.022827,0.96744,0.967456,Normal
2,9,1539,999,0.321072,126,0.106137,0.105749,5,4,999,24.916529,18.604912,13.932557,Normal
2,2,474,390,0.071445,126,0,0,1,1,390,13.99678,0,0,Normal
2,385,299272,277774,952.059753,126,0,0,175,210,277774,0.403336,0.182762,0.219525,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,88,9440,4448,942.661072,126,0,0,48,40,4448,0.092292,0.049875,0.041383,Normal
2,8,522,0,67.177925,62,0,0,4,4,0,0.104201,0.044663,0.044663,Normal
21,226,29931,17076,923.661865,107,0.106308,0.000572,103,123,17076,0.243596,0.110457,0.132083,Normal
2,3,180,0,0.016123,126,0,0,2,1,0,124.046387,62.023193,0,Normal
2,1,60,0,0,126,0,0,1,0,0,0,0,0,Normal
2,1,60,0,0,126,0,0,1,0,0,0,0,0,Normal
2,1,60,0,0,126,0,0,1,0,0,0,0,0,Normal
2,3,180,0,0.008498,126,0,0,2,1,0,235.349487,117.674744,0,Normal
2,3,180,0,0.009271,126,0,0,2,1,0,215.726471,107.863235,0,Normal
2,1,60,0,0,126,0,0,1,0,0,0,0,0,Normal
2,1,145,103,0.405627,126,0,0,1,0,103,0,0,0,Normal
2,2,464,380,0.074694,126,0,0,1,1,380,13.387957,0,0,Normal
2,72,14208,9456,926.234558,62,0,0,36,36,9456,0.076654,0.037788,0.037788,Normal
2,178,59226,47466,926.235718,62,0,0,96,82,47466,0.191096,0.102567,0.087452,Normal
2,116,44715,38092,956.783142,126,0,0,56,60,38092,0.120194,0.057484,0.061672,Normal
2,4,496,328,613.161011,126,0,0,2,2,328,0.004893,0.001631,0.001631,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0.080547,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,464,380,0.108796,126,0,0,1,1,380,9.191514,0,0,Normal
2,2,455,371,0.446539,126,0,0,1,1,371,2.239446,0,0,Normal
2,2,474,390,0.324048,126,0,0,1,1,390,3.085963,0,0,Normal
2,2,474,390,0.792975,126,0,0,1,1,390,1.261074,0,0,Normal
2,2,474,390,0.068648,126,0,0,1,1,390,14.567066,0,0,Normal
2,2,474,390,0.178562,126,0,0,1,1,390,5.600296,0,0,Normal
16,1,173,111,0,48,0,0,1,0,111,0,0,0,Normal
2,2,464,380,0.067339,126,0,0,1,1,380,14.850235,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
10,14,1683,759,13.622857,54,0,0,6,8,759,0.954279,0.367036,0.513862,Normal
25,1,173,111,0,39,0,0,1,0,111,0,0,0,Normal
2,2,474,390,0.225684,126,0,0,1,1,390,4.430974,0,0,Normal
2,2,455,371,0.207474,126,0,0,1,1,371,4.819881,0,0,Normal
2,473,135102,103884,953.197083,62,0,0,228,245,103884,0.495176,0.238146,0.255983,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
14,1,145,103,0.000108,114,0,0,1,0,103,0,0,0,Normal
1,1,173,111,0,63,0,0,1,0,111,0,0,0,Normal
14,106,9192,2196,956.250244,242,0,0,53,53,2196,0.109804,0.054379,0.054388,Normal
2,18,7546,6510,18.688711,126,0.072851,0.072381,8,10,6510,0.90964,0.376011,0.483447,Normal
1,62,54370,50868,0.153888,127,0.016726,0.0166,22,40,50868,396.392181,152.635132,284.074341,Normal
17,122,8945,873,117.573448,47,0.09055,0.050429,65,57,873,1.029144,0.544341,0.476671,Normal
NaN,4,244,0,0.000415,NaN,0,0,0,4,0,7228.916016,0,7228.916016,Normal
2,664,357606,313602,963.847107,62,0,0,359,305,313602,0.687868,0.371428,0.315405,Normal
2,2,485,401,0.774715,126,0,0,1,1,401,1.290797,0,0,Normal
14,39,7852,5668,908.200745,50,0,0,26,13,5668,0.041841,0.027527,0.013216,Normal
2,274,57398,39314,960.425903,62,0,0,150,124,39314,0.284249,0.15514,0.12807,Normal
2,137,22208,13166,960.591431,62,0,0,84,53,13166,0.141579,0.086405,0.054143,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,474,390,0.331791,126,0,0,1,1,390,3.013945,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
20,11,855,221,0.690892,108,0.223043,0.000146,6,5,221,14.474043,7.237021,8.591729,Normal
20,15,1116,243,2.282292,108,0.224649,7.3e-05,8,7,243,6.134185,3.067092,2.912863,Normal
1,2,134,0,0.013239,63,0,0,1,1,0,75.534409,0,0,Normal
1,1,62,0,0,127,0,0,1,0,0,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,11,824,98,59.546925,62,0,0,5,6,98,0.167935,0.067183,0.083979,Normal
2,11,824,98,59.547256,62,0,0,5,6,98,0.167934,0.067183,0.083978,Normal
2,11,824,98,69.539902,62,0,0,6,5,98,0.143802,0.071901,0.066973,Normal
2,11,824,98,69.539352,62,0,0,6,5,98,0.143803,0.071902,0.066981,Normal
1,9,1502,966,16.842037,127,0.00038,0.000178,6,3,966,0.475002,0.296876,0.118755,Normal
2,2,474,390,0.012184,126,0,0,1,1,390,82.074852,0,0,Normal
1,40,31768,29502,0.208308,127,0.024896,0.02476,15,25,29502,187.222763,67.208176,130.85936,Normal
2,2,134,50,0.084521,126,0,0,1,1,50,11.831379,0,0,Normal
2,2,131,47,0.031448,126,0,0,1,1,47,31.798525,0,0,Normal
2,2,136,52,0.063336,126,0,0,1,1,52,15.788809,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
1,2,400,316,0.000423,63,0,0,1,1,316,2364.066162,0,0,Normal
1,2,400,316,0.000456,63,0,0,1,1,316,2192.982422,0,0,Normal
1,7,478,0,0.018511,63,0.00909,0.00895,4,3,0,324.131622,162.065811,212.449539,Normal
11,18,1337,304,1.081618,117,0.005742,0.001424,10,8,304,15.717195,8.320868,6.506471,Normal
2,9,1535,999,0.321192,126,0.10529,0.10491,5,4,999,24.907221,18.469183,13.87078,Normal
2,2,133,49,0.356964,126,0,0,1,1,49,2.801403,0,0,Normal
2,2,134,50,0.018715,126,0,0,1,1,50,53.433075,0,0,Normal
2,11,1081,447,1.006727,126,0.251324,0.250838,6,5,447,9.93318,6.614841,5.291782,Normal
2,11,1081,447,0.256749,126,0.061241,0.060703,6,5,447,38.948544,25.278059,20.403376,Normal
2,11,1245,611,0.530294,126,0.128916,0.128484,6,5,611,18.857464,12.458917,9.954954,Normal
10,887,84852,44718,959.622742,118,0,0,446,441,44718,0.92328,0.463724,0.458514,Normal
2,1012,96535,51151,960.625549,126,0,0,502,510,51151,1.052439,0.522179,0.532398,Normal
2,9,594,0,125.253593,62,0,0,5,4,0,0.06387,0.031935,0.023952,Normal
2,9,594,0,125.253571,62,0,0,5,4,0,0.06387,0.031935,0.023952,Normal
2,9,594,0,125.253586,62,0,0,5,4,0,0.06387,0.031935,0.023952,Normal
1,10,1020,420,0.050796,127,0.016388,0.016198,6,4,420,177.179306,143.938751,86.710213,Normal
20,8,592,114,0.451387,108,0.222886,0.00015,5,3,114,15.507757,8.861576,8.717332,Normal
2,9,594,0,125.09362,62,0,0,5,4,0,0.063952,0.031976,0.023982,Normal
2,2,464,380,0.057622,126,0,0,1,1,380,17.354483,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,474,390,0.063549,126,0,0,1,1,390,15.735889,0,0,Normal
2,2,455,371,0.625043,126,0,0,1,1,371,1.59989,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,464,380,0.026121,126,0,0,1,1,380,38.283375,0,0,Normal
2,2,464,380,0.056641,126,0,0,1,1,380,17.655056,0,0,Normal
2,2,464,380,0.161232,126,0,0,1,1,380,6.202243,0,0,Normal
10,3,198,0,0.017273,54,0,0,2,1,0,115.787651,57.893826,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,228,29434,14386,901.177734,62,0,0,114,114,14386,0.251893,0.125391,0.125395,Normal
2,24,2240,656,900.981873,62,0,0,16,8,656,0.025528,0.016649,0.007769,Normal
2,36,3350,974,900.981506,62,0,0,22,14,974,0.038847,0.023308,0.014429,Normal
2,145,17850,8280,901.370972,62,0,0,81,64,8280,0.159757,0.088754,0.069898,Normal
2,42,6204,3432,901.057068,62,0,0,24,18,3432,0.045502,0.025526,0.018867,Normal
2,48,5988,2820,901.174988,62,0,0,24,24,2820,0.052154,0.025522,0.025523,Normal
2,86,15156,9480,901.033264,62,0,0,52,34,9480,0.094336,0.056602,0.036625,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
12,4,264,0,9.875503,52,0,0,2,2,0,0.303782,0.101261,0.101864,Normal
17,3,180,0,1.655297,47,0,0,1,2,0,1.208242,0,0.604293,Normal
10,18,1563,375,137.707291,54,0,0,8,10,375,0.12345,0.050833,0.065356,Normal
2,32,3088,976,900.249878,62,0,0,16,16,976,0.034435,0.016662,0.016662,Normal
1,2,122,0,12.00476,127,0,0,2,0,0,0.0833,0.0833,0,Normal
19,3,234,0,9.151354,45,0,0,3,0,0,0.218547,0.218547,0,Normal
10,14,1140,324,20.070778,118,0.005778,0.001653,8,6,324,0.647708,0.34879,0.249139,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
13,1,145,103,0.000171,115,0,0,1,0,103,0,0,0,Normal
1,1,173,111,0,63,0,0,1,0,111,0,0,0,Normal
5,4,317,53,0.000466,59,0,0,2,2,53,6437.768066,5291.005371,4854.369141,Normal
13,16,6321,5249,0.78691,51,0.185246,0.000265,9,7,5249,19.061901,10.166347,10.011162,Normal
17,59,4056,162,247.144791,111,0,0,29,30,162,0.23468,0.113294,0.11734,Normal
2,34,2040,115,952.450134,126,0,0,23,11,115,0.034647,0.023098,0.010502,Normal
2,11,1081,447,0.346909,126,0.083972,0.083635,6,5,447,28.826004,19.018421,15.193295,Normal
2,11,1081,447,0.241752,126,0.058321,0.057886,6,5,447,41.364704,28.308563,21.754974,Normal
2,12,1311,611,0.761714,126,0.182051,0.18163,7,5,611,14.441116,10.85358,6.895553,Normal
23,79,15092,10604,945.103271,105,0,0,42,37,10604,0.082531,0.043391,0.0381,Normal
8,1,60,0,0,248,0,0,1,0,0,0,0,0,Normal
1,18,7224,6180,0.615696,127,0.027774,0.027384,8,10,6180,27.611029,11.369246,15.463758,Normal
2,609,166212,131958,958.038208,126,0,0,280,329,131958,0.63463,0.29122,0.342442,Normal
2,1,145,103,0.028948,126,0,0,1,0,103,0,0,0,Normal
2,4,948,780,924.084412,126,0,0,2,2,780,0.003246,0.001082,0.001082,Normal
2,4,948,780,924.249329,126,0,0,2,2,780,0.003246,0.001082,0.001082,Normal
2,4,948,780,924.054199,126,0,0,2,2,780,0.003247,0.001082,0.001082,Normal
2,4,948,780,924.056763,126,0,0,2,2,780,0.003247,0.001082,0.001082,Normal
11,1,173,111,0,53,0,0,1,0,111,0,0,0,Normal
2,2,474,390,0.133608,126,0,0,1,1,390,7.484582,0,0,Normal
2,2,474,390,0.763837,126,0,0,1,1,390,1.30918,0,0,Normal
2,2,474,390,0.193903,126,0,0,1,1,390,5.157218,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
1,189,166089,153327,46.310204,127,0.015992,0.015168,76,113,153327,4.05958,1.619933,2.419266,Normal
1,65,58540,54876,0.170142,127,0.016842,0.016722,23,42,54876,376.156403,142.94812,267.240265,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
1,3,194,0,9.00433,127,0,0,3,0,0,0.222115,0.222115,0,Normal
1,263,250729,233171,39.859737,127,0.017342,0.016703,97,166,233171,6.573049,2.409068,4.141251,Normal
2,2,474,390,0.180475,126,0,0,1,1,390,5.540934,0,0,Normal
2,12,1472,680,899.940857,62,0,0,8,4,680,0.012223,0.007778,0.003334,Normal
2,142,20862,11470,900.012329,62,0.00109,0.000826,74,68,11470,0.156665,0.08111,0.074444,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
1,21,5150,3748,52.497807,63,0.024448,0.024338,12,9,3748,0.380968,0.209533,0.152459,Normal
13,1,148,106,0.000111,115,0,0,1,0,106,0,0,0,Normal
1,1,176,114,0,63,0,0,1,0,114,0,0,0,Normal
1,33,12142,10258,22.53005,127,0.0277,0.027312,17,16,10258,1.420325,0.710163,0.666664,Normal
1,55,29991,26883,18.041607,127,0.027803,0.027536,22,33,26883,2.993082,1.163976,1.7767,Normal
1,27,9317,7775,22.571005,127,0.027876,0.027583,15,12,7775,1.15192,0.620265,0.488062,Normal
1,24,6601,5221,22.682863,127,0.027675,0.027441,14,10,5221,1.013981,0.57312,0.397367,Normal
1,44,37491,34989,8.225185,127,0.027578,0.027295,16,28,34989,5.227846,1.823667,3.297286,Normal
8,56,3883,646,893.418213,120,0,0,30,26,646,0.061561,0.03246,0.027995,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
17,39,5000,2791,31.545906,111,0.03207,0.00021,22,17,2791,1.204594,0.665697,1.564161,Normal
2,225,165016,152482,931.488403,126,0,0,83,142,152482,0.240475,0.088031,0.151385,Normal
1,18,5699,4661,20.753527,63,0.178469,0.178258,9,9,4661,0.819138,0.388799,0.388816,Normal
2,9,1535,999,0.332252,126,0.105541,0.105073,5,4,999,24.07811,17.605247,13.205445,Normal
13,36,2880,828,935.208008,51,0,0,18,18,828,0.037425,0.018182,0.018182,Normal
2,2,455,371,0.525914,126,0,0,1,1,371,1.901451,0,0,Normal
1,50,4045,745,945.165405,63,0,0,25,25,745,0.051843,0.025393,0.025393,Normal
10,41,2868,162,254.287857,118,0,0,20,21,162,0.157302,0.074719,0.078651,Normal
1,106,105060,99140,1.043012,127,0.017076,0.016979,29,77,99140,100.669983,26.845327,74.077461,Normal
16,1,145,103,1.4e-05,112,0,0,1,0,103,0,0,0,Normal
1,1,173,111,0,63,0,0,1,0,111,0,0,0,Normal
15,31,15480,13430,5.4643,49,0.103601,0.000587,16,15,13430,5.490181,2.745091,2.611614,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,464,380,0.171306,126,0,0,1,1,380,5.837507,0,0,Normal
2,2,474,390,0.078259,126,0,0,1,1,390,12.778083,0,0,Normal
1,31,9857,8101,0.105337,63,0.000203,0.000114,17,14,8101,284.800201,151.977127,123.547134,Normal
13,36,2880,828,935.203918,51,0,0,18,18,828,0.037425,0.018182,0.018182,Normal
2,2,485,401,0.527509,126,0,0,1,1,401,1.895702,0,0,Normal
2,2,474,390,0.045331,126,0,0,1,1,390,22.059958,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,2,474,390,0.127015,126,0,0,1,1,390,7.873086,0,0,Normal
2,2,474,390,0.172509,126,0,0,1,1,390,5.796799,0,0,Normal
2,2,474,390,0.616434,126,0,0,1,1,390,1.622234,0,0,Normal
2,2,464,380,0.407783,126,0,0,1,1,380,2.452285,0,0,Normal
2,2,474,390,0.009999,126,0,0,1,1,390,100.010002,0,0,Normal
2,1,145,103,0,126,0,0,1,0,103,0,0,0,Normal
2,10,1499,823,0.403675,62,0.120904,0.12055,5,5,823,22.295164,14.146723,14.128035,Normal
2,2,474,390,0.177396,126,0,0,1,1,390,5.637105,0,0,Normal
2,2,455,371,0.412549,126,0,0,1,1,371,2.423954,0,0,Normal
